SUMLEV,STATE,COUNTY,STNAME,CTYNAME,SEX,ORIGIN,RACE,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011
050,15,001,Hawaii,Hawaii County,0,0,1,64419,64419,64262,64413
050,15,001,Hawaii,Hawaii County,0,0,2,1091,1091,1093,1372
050,15,001,Hawaii,Hawaii County,0,0,3,1001,1001,1004,1141
050,15,001,Hawaii,Hawaii County,0,0,4,41810,41810,42020,42151
050,15,001,Hawaii,Hawaii County,0,0,5,22930,22930,22969,23147
050,15,001,Hawaii,Hawaii County,0,0,6,53828,53828,54033,54514
050,15,001,Hawaii,Hawaii County,0,1,1,58054,58054,57886,57872
050,15,001,Hawaii,Hawaii County,0,1,2,909,909,909,1133
050,15,001,Hawaii,Hawaii County,0,1,3,591,591,589,662
050,15,001,Hawaii,Hawaii County,0,1,4,39832,39832,40034,40136
050,15,001,Hawaii,Hawaii County,0,1,5,21156,21156,21193,21364
050,15,001,Hawaii,Hawaii County,0,1,6,43154,43154,43288,43580
050,15,001,Hawaii,Hawaii County,0,2,1,6365,6365,6376,6541
050,15,001,Hawaii,Hawaii County,0,2,2,182,182,184,239
050,15,001,Hawaii,Hawaii County,0,2,3,410,410,415,479
050,15,001,Hawaii,Hawaii County,0,2,4,1978,1978,1986,2015
050,15,001,Hawaii,Hawaii County,0,2,5,1774,1774,1776,1783
050,15,001,Hawaii,Hawaii County,0,2,6,10674,10674,10745,10934
050,15,001,Hawaii,Hawaii County,1,0,1,33276,33276,33155,33230
050,15,001,Hawaii,Hawaii County,1,0,2,668,668,670,842
050,15,001,Hawaii,Hawaii County,1,0,3,506,506,506,593
050,15,001,Hawaii,Hawaii County,1,0,4,19811,19811,19905,19958
050,15,001,Hawaii,Hawaii County,1,0,5,11746,11746,11763,11889
050,15,001,Hawaii,Hawaii County,1,0,6,26814,26814,26931,27284
050,15,001,Hawaii,Hawaii County,1,1,1,30047,30047,29927,29914
050,15,001,Hawaii,Hawaii County,1,1,2,574,574,574,703
050,15,001,Hawaii,Hawaii County,1,1,3,300,300,296,340
050,15,001,Hawaii,Hawaii County,1,1,4,18814,18814,18902,18935
050,15,001,Hawaii,Hawaii County,1,1,5,10838,10838,10853,10968
050,15,001,Hawaii,Hawaii County,1,1,6,21528,21528,21606,21773
050,15,001,Hawaii,Hawaii County,1,2,1,3229,3229,3228,3316
050,15,001,Hawaii,Hawaii County,1,2,2,94,94,96,139
050,15,001,Hawaii,Hawaii County,1,2,3,206,206,210,253
050,15,001,Hawaii,Hawaii County,1,2,4,997,997,1003,1023
050,15,001,Hawaii,Hawaii County,1,2,5,908,908,910,921
050,15,001,Hawaii,Hawaii County,1,2,6,5286,5286,5325,5511
050,15,001,Hawaii,Hawaii County,2,0,1,31143,31143,31107,31183
050,15,001,Hawaii,Hawaii County,2,0,2,423,423,423,530
050,15,001,Hawaii,Hawaii County,2,0,3,495,495,498,548
050,15,001,Hawaii,Hawaii County,2,0,4,21999,21999,22115,22193
050,15,001,Hawaii,Hawaii County,2,0,5,11184,11184,11206,11258
050,15,001,Hawaii,Hawaii County,2,0,6,27014,27014,27102,27230
050,15,001,Hawaii,Hawaii County,2,1,1,28007,28007,27959,27958
050,15,001,Hawaii,Hawaii County,2,1,2,335,335,335,430
050,15,001,Hawaii,Hawaii County,2,1,3,291,291,293,322
050,15,001,Hawaii,Hawaii County,2,1,4,21018,21018,21132,21201
050,15,001,Hawaii,Hawaii County,2,1,5,10318,10318,10340,10396
050,15,001,Hawaii,Hawaii County,2,1,6,21626,21626,21682,21807
050,15,001,Hawaii,Hawaii County,2,2,1,3136,3136,3148,3225
050,15,001,Hawaii,Hawaii County,2,2,2,88,88,88,100
050,15,001,Hawaii,Hawaii County,2,2,3,204,204,205,226
050,15,001,Hawaii,Hawaii County,2,2,4,981,981,983,992
050,15,001,Hawaii,Hawaii County,2,2,5,866,866,866,862
050,15,001,Hawaii,Hawaii County,2,2,6,5388,5388,5420,5423
050,15,003,Hawaii,Honolulu County,0,0,1,206179,206179,205331,214395
050,15,003,Hawaii,Honolulu County,0,0,2,20198,20198,20063,24551
050,15,003,Hawaii,Honolulu County,0,0,3,2866,2866,2856,3512
050,15,003,Hawaii,Honolulu County,0,0,4,423055,423055,425022,420518
050,15,003,Hawaii,Honolulu County,0,0,5,92676,92676,92991,92356
050,15,003,Hawaii,Honolulu County,0,0,6,208233,208233,209373,208275
050,15,003,Hawaii,Honolulu County,0,1,1,182591,182591,181693,187351
050,15,003,Hawaii,Honolulu County,0,1,2,18081,18081,17937,22134
050,15,003,Hawaii,Honolulu County,0,1,3,1717,1717,1700,2100
050,15,003,Hawaii,Honolulu County,0,1,4,411952,411952,413831,409373
050,15,003,Hawaii,Honolulu County,0,1,5,86884,86884,87162,86567
050,15,003,Hawaii,Honolulu County,0,1,6,174549,174549,175390,174512
050,15,003,Hawaii,Honolulu County,0,2,1,23588,23588,23638,27044
050,15,003,Hawaii,Honolulu County,0,2,2,2117,2117,2126,2417
050,15,003,Hawaii,Honolulu County,0,2,3,1149,1149,1156,1412
050,15,003,Hawaii,Honolulu County,0,2,4,11103,11103,11191,11145
050,15,003,Hawaii,Honolulu County,0,2,5,5792,5792,5829,5789
050,15,003,Hawaii,Honolulu County,0,2,6,33684,33684,33983,33763
050,15,003,Hawaii,Honolulu County,1,0,1,114126,114126,113414,119219
050,15,003,Hawaii,Honolulu County,1,0,2,12393,12393,12304,14640
050,15,003,Hawaii,Honolulu County,1,0,3,1586,1586,1570,1908
050,15,003,Hawaii,Honolulu County,1,0,4,196999,196999,197852,195526
050,15,003,Hawaii,Honolulu County,1,0,5,46935,46935,47075,46798
050,15,003,Hawaii,Honolulu County,1,0,6,105053,105053,105681,105354
050,15,003,Hawaii,Honolulu County,1,1,1,101548,101548,100836,104642
050,15,003,Hawaii,Honolulu County,1,1,2,11264,11264,11169,13340
050,15,003,Hawaii,Honolulu County,1,1,3,934,934,916,1118
050,15,003,Hawaii,Honolulu County,1,1,4,191619,191619,192429,190125
050,15,003,Hawaii,Honolulu County,1,1,5,43978,43978,44103,43837
050,15,003,Hawaii,Honolulu County,1,1,6,88466,88466,88929,88596
050,15,003,Hawaii,Honolulu County,1,2,1,12578,12578,12578,14577
050,15,003,Hawaii,Honolulu County,1,2,2,1129,1129,1135,1300
